Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,03-Mar-2014,29-May-2014,CE,7150.00,-,-,-,12.20,-,9.65,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,29-May-2014,CE,7100.00,65.00,67.75,56.60,58.20,58.85,58.20,111.00,397.61,356120.00,14750.00,3400.00,6221.45
NIFTY,03-Mar-2014,29-May-2014,CE,7050.00,-,-,-,18.80,-,15.25,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,29-May-2014,CE,7000.00,90.00,94.00,79.20,82.15,81.50,82.15,1673.00,5927.10,7160272.50,179150.00,35800.00,6221.45
NIFTY,03-Mar-2014,29-May-2014,CE,6950.00,-,-,-,28.30,-,23.40,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,29-May-2014,CE,6900.00,105.05,121.00,99.05,102.50,103.00,102.50,303.00,1062.59,1723627.50,35100.00,7050.00,6221.45
NIFTY,03-Mar-2014,29-May-2014,CE,6850.00,-,-,-,41.60,-,35.10,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,29-May-2014,CE,6800.00,149.00,149.00,120.10,129.25,128.25,129.25,847.00,2937.98,5817865.00,73900.00,22850.00,6221.45
NIFTY,03-Mar-2014,29-May-2014,CE,6750.00,-,-,-,59.70,-,51.35,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,29-May-2014,CE,6700.00,175.00,182.95,150.55,160.40,161.00,160.40,995.00,3417.13,8388172.50,79100.00,28350.00,6221.45
NIFTY,03-Mar-2014,29-May-2014,CE,6650.00,-,-,-,83.55,-,73.10,-,-,-,-,-,6221.45
NIFTY,03-Mar-2014,29-May-2014,CE,6600.00,220.00,222.75,188.40,194.90,198.75,194.90,1368.00,4653.80,13940035.00,113200.00,36550.00,6221.45
NIFTY,03-Mar-2014,29-May-2014,CE,6550.00,220.65,220.65,219.95,220.00,219.95,220.00,170.00,575.46,1871425.00,7500.00,7500.00,6221.45
NIFTY,03-Mar-2014,29-May-2014,CE,6500.00,263.10,266.60,231.10,237.75,236.05,237.75,2879.00,9715.03,35828185.00,179800.00,80150.00,6221.45
